"id","source_id","source_name","category","title","summary","item_url","source_url","published_date","scrape_status","error_message","raw_json","scraped_at","created_at","updated_at","protected_from_cleanup","protected_at"
"smi-a35a3f67f108a95a","rtx","RTX","Contractor Newsrooms","Investors",,"https://www.rtx.com/investors","https://www.rtx.com/news",,"success",,"{""title"":""Investors"",""itemUrl"":""https://www.rtx.com/investors""}","2026-06-24 07:52:44.396","2026-06-24 07:52:44.396","2026-06-24 07:52:44.396","false",
"smi-a3ee08fc34ebe46a","rtx","RTX","Contractor Newsrooms","RTX's Raytheon awarded $515 million contract for SPY-6 family of radars",,"https://www.rtx.com/news/news-center/2026/06/03/rtxs-raytheon-awarded-515-million-contract-for-spy-6-family-of-radars","https://www.rtx.com/news",,"success",,"{""title"":""RTX's Raytheon awarded $515 million contract for SPY-6 family of radars"",""itemUrl"":""https://www.rtx.com/news/news-center/2026/06/03/rtxs-raytheon-awarded-515-million-contract-for-spy-6-family-of-radars""}","2026-06-24 07:52:44.396","2026-06-24 07:52:44.396","2026-06-24 07:52:44.396","false",
"smi-a4053312d0ea520c","lockheed","Lockheed Martin","Contractor Newsrooms","Subscribe for Updates",,"https://news.lockheedmartin.com/email-alerts","https://news.lockheedmartin.com/","2026-06-23 00:00:00","success",,"{""title"":""Subscribe for Updates"",""itemUrl"":""https://news.lockheedmartin.com/email-alerts"",""publishedDate"":""2026-06-23T00:00:00.000Z""}","2026-06-24 07:52:47.208","2026-06-24 07:52:47.208","2026-06-24 07:52:47.208","false",
"smi-a565ab3961b9b928","dhs-oig","DHS OIG","Oversight / Pain Points","Annual Work Plan",,"https://www.oig.dhs.gov/sites/default/files/FY25-DHS-OIG-Annual-Work-Plan.pdf","https://www.oig.dhs.gov/",,"success",,"{""title"":""Annual Work Plan"",""itemUrl"":""https://www.oig.dhs.gov/sites/default/files/FY25-DHS-OIG-Annual-Work-Plan.pdf""}","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","false",
"smi-a728790034f6ba3e","hhs-oig","HHS OIG","Oversight / Pain Points","Top Management & Performance Challenges Facing HHS",,"https://oig.hhs.gov/reports/all/?report-type=TMC&hhs-agency=all&issue-date=all#results","https://oig.hhs.gov/",,"success",,"{""title"":""Top Management & Performance Challenges Facing HHS"",""itemUrl"":""https://oig.hhs.gov/reports/all/?report-type=TMC&hhs-agency=all&issue-date=all#results""}","2026-06-24 07:53:22.019","2026-06-24 07:53:22.019","2026-06-24 07:53:22.019","false",
"smi-a7b6ea09c863a38f","dhs-oig","DHS OIG","Oversight / Pain Points","Annual Performance Report",,"https://www.oig.dhs.gov/sites/default/files/FY25-Annual-Performance-Report.pdf","https://www.oig.dhs.gov/",,"success",,"{""title"":""Annual Performance Report"",""itemUrl"":""https://www.oig.dhs.gov/sites/default/files/FY25-Annual-Performance-Report.pdf""}","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","2026-06-24 07:53:19.869","false",
"smi-a7fb01f56f465f4b","govinfo","GovInfo","Regulatory / Rulemaking","Feeds",,"https://www.govinfo.gov/feeds","https://www.govinfo.gov/",,"success",,"{""title"":""Feeds"",""itemUrl"":""https://www.govinfo.gov/feeds""}","2026-06-24 07:53:13.147","2026-06-24 07:53:13.147","2026-06-24 07:53:13.147","false",
"smi-a90a07cc5df402d3","usajobs","USAJOBS","Workforce / Demand","Resumes & documents",,"https://www.usajobs.gov/applicant/document/resumes/","https://www.usajobs.gov/",,"success",,"{""title"":""Resumes & documents"",""itemUrl"":""https://www.usajobs.gov/applicant/document/resumes/""}","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","false",
"smi-aa8b899ad09dee0b","govinfo","GovInfo","Regulatory / Rulemaking","Committee",,"https://www.govinfo.gov/browse/committee","https://www.govinfo.gov/",,"success",,"{""title"":""Committee"",""itemUrl"":""https://www.govinfo.gov/browse/committee""}","2026-06-24 07:53:13.147","2026-06-24 07:53:13.147","2026-06-24 07:53:13.147","false",
"smi-aaa809780d9aeb01","faa-ame","FAA AME Guide","Medical / Deployment / Occu-Med","Obstructive Sleep Apnea (OSA) Treated Status Report",,"https://www.faa.gov/ame_guide/media/OSA_Treated_Status_Report.pdf","https://www.faa.gov/ame_guide","2026-05-27 00:00:00","success",,"{""title"":""Obstructive Sleep Apnea (OSA) Treated Status Report"",""itemUrl"":""https://www.faa.gov/ame_guide/media/OSA_Treated_Status_Report.pdf"",""publishedDate"":""2026-05-27T00:00:00.000Z""}","2026-06-24 07:53:35.572","2026-06-24 07:53:35.572","2026-06-24 07:53:35.572","false",
"smi-abc2698c900bce20","doj-oig","DOJ OIG","Oversight / Pain Points","Audit",,"https://oig.justice.gov/reports/type/audit","https://oig.justice.gov/",,"success",,"{""title"":""Audit"",""itemUrl"":""https://oig.justice.gov/reports/type/audit""}","2026-06-24 07:53:24.742","2026-06-24 07:53:24.742","2026-06-24 07:53:24.742","false",
"smi-ad42d2530eab8501","grants-gov","Grants.gov","Federal Procurement / Awards","Search Site Content",,"https://www.grants.gov/site-search-results","https://www.grants.gov/",,"success",,"{""title"":""Search Site Content"",""itemUrl"":""https://www.grants.gov/site-search-results""}","2026-06-24 07:53:05.663","2026-06-24 07:53:05.663","2026-06-24 07:53:05.663","false",
"smi-b039aefe609913c8","oversight-gov","Oversight.gov","Oversight / Pain Points","View Report",,"https://www.oversight.gov/reports/amtrak-employee-issued-letter-reprimand-related-fraudulent-receipt-pandemic-related-funds","https://www.oversight.gov/",,"success",,"{""title"":""View Report"",""itemUrl"":""https://www.oversight.gov/reports/amtrak-employee-issued-letter-reprimand-related-fraudulent-receipt-pandemic-related-funds""}","2026-06-24 07:53:15.475","2026-06-24 07:53:15.475","2026-06-24 07:53:15.475","false",
"smi-b0c46bca1b983ae6","parsons","Parsons","Contractor Newsrooms","Press Release",,"https://www.parsons.com/category/news/press-release/","https://www.parsons.com/newsroom/",,"success",,"{""title"":""Press Release"",""itemUrl"":""https://www.parsons.com/category/news/press-release/""}","2026-06-24 07:52:53.448","2026-06-24 07:52:53.448","2026-06-24 07:52:53.448","false",
"smi-b36c6639db1dbeab","oversight-gov","Oversight.gov","Oversight / Pain Points","View Report",,"https://www.oversight.gov/reports/other/family-planning-commodities-usaid-must-provide-final-disposition-instructions-stop","https://www.oversight.gov/",,"success",,"{""title"":""View Report"",""itemUrl"":""https://www.oversight.gov/reports/other/family-planning-commodities-usaid-must-provide-final-disposition-instructions-stop""}","2026-06-24 07:53:15.475","2026-06-24 07:53:15.475","2026-06-24 07:53:15.475","false",
"smi-b3ef0bcece1fc73b","govinfo","GovInfo","Regulatory / Rulemaking","System Design",,"https://www.govinfo.gov/developers/system-design","https://www.govinfo.gov/",,"success",,"{""title"":""System Design"",""itemUrl"":""https://www.govinfo.gov/developers/system-design""}","2026-06-24 07:53:13.147","2026-06-24 07:53:13.147","2026-06-24 07:53:13.147","false",
"smi-b4501187fe050b02","doj-oig","DOJ OIG","Oversight / Pain Points","All Reports",,"https://oig.justice.gov/reports","https://oig.justice.gov/",,"success",,"{""title"":""All Reports"",""itemUrl"":""https://oig.justice.gov/reports""}","2026-06-24 07:53:24.742","2026-06-24 07:53:24.742","2026-06-24 07:53:24.742","false",
"smi-b4e7347fbc51aa3f","usajobs","USAJOBS","Workforce / Demand","More information",,"https://www.usajobs.gov/Event/5615","https://www.usajobs.gov/",,"success",,"{""title"":""More information"",""itemUrl"":""https://www.usajobs.gov/Event/5615""}","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","2026-06-24 07:53:27.426","false",
"smi-b579ac859796a478","hhs-oig","HHS OIG","Oversight / Pain Points","Reports",,"https://oig.hhs.gov/reports/","https://oig.hhs.gov/",,"success",,"{""title"":""Reports"",""itemUrl"":""https://oig.hhs.gov/reports/""}","2026-06-24 07:53:22.019","2026-06-24 07:53:22.019","2026-06-24 07:53:22.019","false",
"smi-b7c9f7f33d6871b8","rtx","RTX","Contractor Newsrooms","Raytheon",,"https://www.rtx.com/raytheon","https://www.rtx.com/news",,"success",,"{""title"":""Raytheon"",""itemUrl"":""https://www.rtx.com/raytheon""}","2026-06-24 07:52:44.396","2026-06-24 07:52:44.396","2026-06-24 07:52:44.396","false",
