"id","scope","state_code","signal_type","source","agency","title","summary","source_url","published_date","feedback","relevance_score","external_id","raw_json","fetched_at","created_at","updated_at"
"00ba5f50-5343-5a47-ce49-c832a9395884","federal",,"other","other","Insight Hub","Manual intel fetch completed","The intel feed fetch endpoint is active. Source fetchers can be re-enabled after the recovery build is stable.",,"2026-06-08 11:45:40.926","new","50","federal::federal::manual-fetch::2026-06-08","{""recovered"":true,""timestamp"":""2026-06-08T11:45:40.926Z""}","2026-06-08 11:45:40.926","2026-06-08 11:45:40.926","2026-06-08 11:45:40.926"
"44d06df9-28b4-5083-1f66-ad38b59bdbc4","federal",,"other","other","Insight Hub","Manual intel fetch completed","The intel feed fetch endpoint is active. Source fetchers can be re-enabled after the recovery build is stable.",,"2026-06-11 23:08:32.158","new","50","federal::federal::manual-fetch::2026-06-11","{""recovered"":true,""timestamp"":""2026-06-11T23:08:32.158Z""}","2026-06-11 23:08:32.158","2026-06-11 23:08:32.158","2026-06-11 23:08:32.158"
"6283024d-071f-5f60-0e79-527a5398f91a","federal",,"other","other","Insight Hub","Manual intel fetch completed","The intel feed fetch endpoint is active. Source fetchers can be re-enabled after the recovery build is stable.",,"2026-06-03 11:24:26.956","dismissed","50","federal::federal::manual-fetch::2026-06-03","{""recovered"":true,""timestamp"":""2026-06-03T11:24:26.956Z""}","2026-06-03 11:24:26.956","2026-06-03 11:24:26.956","2026-06-08 06:23:56.671"
